,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,clusters,cluster
0,3.72358989715576,7.30257368087769,0.450662314891815,50.5,0.71811431646347,0.173169285058975,0.881686329841614,0.414297044277191,0.258195489645004,0.612072110176086,2,dark purple
1,4.40177822113037,7.47244644165039,0.552308440208435,50.7999992370605,0.678896367549896,0.195469126105309,0.850035429000854,0.481421440839767,0.237092420458794,0.611545205116272,2,dark purple
2,4.75838088989258,7.57918262481689,0.539075195789337,51.0999984741211,0.600127220153809,0.125859469175339,0.706766068935394,0.516906678676605,0.275323808193207,0.299357414245605,2,dark purple
3,3.83171916007996,7.55200624465942,0.52110356092453,51.4000015258789,0.49590140581131,0.167722776532173,0.731108546257019,0.479834675788879,0.267174690961838,0.307385712862015,2,dark purple
4,3.78293752670288,7.63795328140259,0.520636737346649,51.7000007629395,0.530935049057007,0.241247072815895,0.775619804859161,0.613512814044952,0.26791912317276,0.43544015288353,2,dark purple
5,3.57210040092468,7.6575026512146,0.483551859855652,52.0,0.577955365180969,0.0663439780473709,0.823204100131989,0.547416985034943,0.273328095674515,0.482847273349762,2,dark purple
6,3.13089561462402,7.65082740783691,0.525568425655365,52.2999992370605,0.508514046669006,0.109215162694454,0.871241986751556,0.491641014814377,0.374860733747482,0.409047514200211,2,dark purple
7,3.98285460472107,7.63446569442749,0.528597235679626,52.5999984741211,0.388927578926086,0.0850820764899254,0.880638301372528,0.491409957408905,0.339276045560837,0.260557144880295,2,dark purple
8,4.22016859054565,7.62903690338135,0.559071779251099,52.9249992370605,0.522566199302673,0.0474882274866104,0.793245553970337,0.501408755779266,0.348332285881042,0.324989557266235,2,dark purple
9,2.66171813011169,7.62968444824219,0.490880072116852,53.25,0.427010864019394,-0.116068467497826,0.954392552375793,0.435269951820374,0.371326178312302,0.261178523302078,2,dark purple
10,2.69430327415466,7.61766338348389,0.507515847682953,53.5750007629395,0.373535543680191,-0.0881245955824852,0.92760568857193,0.384561479091644,0.404904395341873,0.364666402339935,2,dark purple
11,2.37509179115295,7.63290309906006,0.419972866773605,53.9000015258789,0.39365616440773,-0.103466518223286,0.923849105834961,0.324107825756073,0.502473711967468,0.341482222080231,2,dark purple
13,4.63425159454346,9.1215238571167,0.821371614933014,66.7600021362305,0.528604745864868,-0.0085214301943779,0.874699532985687,0.488818615674973,0.246335029602051,0.300680577754974,1,purple
17,5.51012420654297,9.32616329193115,0.784501791000366,68.1600036621094,0.601512134075165,-0.168579250574112,0.847675204277039,0.553473174571991,0.271393239498138,0.364893704652786,1,purple
18,4.5506477355957,9.337965965271,0.759476721286774,68.4400024414063,0.631830275058746,-0.126937955617905,0.862904965877533,0.540750980377197,0.338378578424454,0.338094711303711,1,purple
19,4.81376314163208,9.35762500762939,0.625586926937103,68.7200012207031,0.734648406505585,-0.024412214756012,0.882704436779022,0.572945058345795,0.334542661905289,0.498786389827728,1,purple
20,4.60665082931519,9.38248157501221,0.639356136322021,69.0,0.70385068655014,-0.0806085839867592,0.884793043136597,0.579071700572968,0.35042667388916,0.506978392601013,1,purple
21,4.51110076904297,9.41669273376465,0.638411462306976,69.0250015258789,0.729818940162659,-0.0167841985821724,0.901070773601532,0.567079722881317,0.321705996990204,0.400909811258316,1,purple
22,4.63954830169678,9.45493030548096,0.637698292732239,69.0500030517578,0.749611020088196,-0.0286293756216764,0.876134634017944,0.547240436077118,0.333884119987488,0.457737535238266,1,purple
